,Rating,Review,Comment
778,4,"over sensitive touch tall phone not ideal for gaming like pubgm, 730G performs well ,pubgm creats good color and game booster  produces more enhanced color .battery isnt going  well even after updates and takes 80-85 minutes from 0-100 charge.this phone too have battery bug like rest of Mi lineup .it wil stuck aT 99%. need to plug out and in repeatedly for optimum charging.READ MORE",Delightful
779,3,"First of all, I want to request everyone to don't purchase any product from Flipkart unless you have full confidence with the product quality. Even if reviews of the product is showing something bad then don't buy it because flipkart never replace or refund you untill you face something damaged like broken etc. Now review of the product. Its my suggestion to heavy gamers don't buy it . It's not worthy as per it's specifications. Cons.1. Though gaming graphics quality is good but it's not...READ MORE",Nice
780,4,"Has a great camera, great display but the display in direct sunlight isn't that good. Heats a lot in excessive gaming and if power saving is switched off the heating problem remains. Good cover with bulged corners that protects the phone very nicely. The charger is fast and the phone charges from zero to hundreds per cent within two hours. Again during charging phone cannot be used due to heating issue.READ MORE",Good quality product
781,4,"Value for Money.Pros:1. It gives premium and flagship performence2. 64MP Camera was good, not other three3. Try with Google Camera for portrait shots (Please refer Con's)4. Last one week i used with day today task and PUBG game(Daily min 2hrs), every end of the my mobile 30 to 40% charge5. 120Hz display performence was awesome.6. Sound quality in loud speaker was good, but average in earpiece speaker7. Build quality also good 8. Sensors are all good and responsive9. Best Charging sp...READ MORE",Very Good
782,5,Awsm phone budget friendly super smooth with 120hz display feels like a butter on a bread....READ MORE,Brilliant
783,5,"Wow ,this poco phone using me 1st time wow what a superise smooth,cam nice,all good I like itREAD MORE",Mind-blowing purchase
784,5,Very good phone with nice feathers .Look like awsome to have 💗👌READ MORE,Great product
785,5,"Best mobile under 20k, display, camera, sound quality, build, battery, os everything awasome. Not a single ad in the OS. Very happy with purchase, best value for money device. Don't think far better than Moto fusion plus.READ MORE",Awesome
786,5,This is the best phone but i got this phone in 17499 which is little bit high but otherwise this is best phone which gave me the best feeling of flagship smartphone Screen brightness is superb Liquid cooling tech is superb This is no problem of battery drainage when you use it in your normal work but battery drainage is more during gaming Macro shots are goods Selfie camera  superb 64 AI QUAD camera is awesome I gave 4 star this phone out of 5. 0.5 reduct by me because of not giving u...READ MORE,Mind-blowing purchase
787,4,Bulky device display is good but not bestBetter to buy amoled display with 60H refresh rate then IPS with 120 h. Camera is awasome better then some flagship device. battery backup is not bad that I was read in reviews. Fast charging is good 15-100 in 60 minuteREAD MORE,Good quality product
788,4,Really a awesome product...Excellent build quality and nice display....Flagship level camera...Good gaming experience....Ultra smooth with 120HZ...For normal use battery is very good....For gaming battery is little slow....But it is covered up by 27w fast charger....Within one hour we get full charge...Overall good one at this price rangeREAD MORE,Pretty good
789,5,Super fast delivery.very nice phone all is better..and camera quality is awesomeREAD MORE,Mind-blowing purchase
790,5,"This phone has no issues at allPeople complaining about battery backup. After software update, remember to calibrate battery & factory reset. This solves battery draining issue.You get SOT of 6-7hrs with 120hrz. I believe it's more than enough. Also it supports 27w charging.Ui is smooth & responsive because of 120hrz display.For canera, it has sony sensor. I had redmi note 8 pro before this phone & I believe it's way more superior than samsung sensor.I believe this is the best vfm produc...READ MORE",Brilliant
791,5,Really love this product the photos are amazing over all best device purchase this product without any daut this is the best smartphone in this budget rangeREAD MORE,Highly recommended
792,5,First I did not like the back design of this phone because of that circle beside the cameras. But after I get the product I really loved the design. It is soo beautiful and the gradient is awesome.The display quality and touch response is awesome. Unbelievable smooth because of the 120 hz displayPerformance is also very goodThe phone is too big than it is looking in the imageThe camera quality specially the night mode is very goodStill now I didn't faced any battery drain issue.Nice pho...READ MORE,Best in the market!
793,3,"Nice phone but battery is good but,,  very good phone nice,,  it was no good take photo at nightREAD MORE",Fair
794,5,Final statement: Value for money..Go for it(After using it for 3-4 months)Cons: 1.Battery life- Considering 5000 mAh battery the phone battery go rapidly down with normal surfing in 60hz. Might be a AI problem 2. Bugs: Software bugs are there like freezing app crashes3. PUBG: Plays pubg at 40 fps....dont expect 60 because it's not constant. Even in competitive t1 t2 lobby the phone lags in end circle but that is for most of the Android PhonePros:1. Performance: Belive me 730G might lose...READ MORE,Worth every penny
795,5,"After using of 15 days, I think it's the best phone at this price becoz of 1) Camera quality is just awesome 2) Battery backup is good after the latest update3) Performance also fast, when I play PUBG it's run smoothly, no battery drain, it's heat minor at the of play.READ MORE",Awesome
796,3,"Camera performace is very nice but there is no option to take original image. After clicking the image, the total frame is changed and beautified. And the post processing level, colors are too high. I don't like that. Sometimes I need a sharp and original image.Battery performance is not bad.. its ok ok.. There is a little bit of hitting issue i noticed when gaming. 3rd is there is too much of unnecessary promotional apps. Which u can't uninstall. Like everytime xiaomi does.. if u are ok wi...READ MORE",Fair
797,5,I have been using this phone for a week and here is what I felt1. The phone feels super fast because of the 120 hz rate but 60 hz is not half bad. But even in 120 hz I felt some hiccups here and there but that is totally untraceable and fine2.camera is decent indoors but is a beast outdoors especially those AI powered shots were too good. The same is for selfie camera3. Gaming experience is mixed for me... Some times the experience is flawless but sometimes it hangs when the phone heats bu...READ MORE,Great product
798,5,The phone is what it advertise to be. Best value for money. Don't go looking for a flagship in this. Fully satisfied and confident I won't change phones for 2 years.READ MORE,Wonderful
799,4,"best part of this phone is rear camera.. its great quality.. but there is heat on the upper right side of phone when camera using half hour. Another advantage is best performance.  no heat will be produced when playing pubg or call of duty. but its software is buggy. sometimes i cant signout mi account or i cant turn off find device. if its not turn off, we cant reset our handset. i think its their server problem not handset. prons.1. Best camera2. good performance3. smooth display 4. fr...READ MORE",Good choice
800,5,"Best phone under 20k,the camera is superb, performance is mind blowing ,the experience will increase for 120 hz refresh rate but the battery is average,it can be ignore because of it's 27watt fast charging,I like even fall in love with this device and I also recommend this device,#Smooth AfREAD MORE",Must buy!
801,5,Super phone for this budget on my first day of use i love it super service from Flipkart delivery   ......i have used this device for 3 weeks now i love it .it has some bettery problem but this is a killer device at this price for sureREAD MORE,Perfect product!
802,4,"Screen is very big and nice, battery backup is good, good for gaming but not the best. Camera is very nice as campare to same price of other device, overall it's good purchase for me😊READ MORE",Good quality product
803,5,Got it for Rs 16624 during the sale. Good phone with a great screen and okish camera performance. Go for it because this is the best at this price pointREAD MORE,Highly recommended
804,5,Super and good luck very niceREAD MORE,Best in the market!
805,5,such an amazing product 🤩.. I really loved this poco x2 😻..... battery performance is too gud❣️.... camera and display plays a tremendous performance.... really loved thisREAD MORE,Simply awesome
806,5,"Just go for it....👍👍1. Awesome camera,2. Smooth performance,3. Good display,4. Battery is average but 27w charger will make it full in 70-75 minute,5. And the look is awesome.READ MORE",Worth every penny
807,5,"I'm using this phone for 4 months.I would say this phone is perfect at this price range.Pros..............1.This phone has best camera at this price.2.Performance is awesome.3.Battery quite descent.4.Fast charging is awesome.(1hr:10mints Full charge)Side mounted fingerprint sensor is pretty fast.Cons..............1.Heating issue.The phone doesn't heat normally but when you play pubg more than 2 hrs, it heats a lot but it doesn't impact any effect on the performance. Even you can enj...READ MORE",Terrific
808,5,Very good performance good running at 120HZ ... good quality camera I love this phone 😍😍😍😍😍😍 Petter permanence battery..but nice use smoothly ... good video 4k ...I am very happyREAD MORE,Wonderful
809,5,"Awesome performance, good battery life,very good camera, display is well smoothREAD MORE",Worth every penny
810,4,"Phone is nice but it is heavy compared to Poco F1.Also display to too large, can't handle with 1 hand for sure...!!!I still prefer Poco F1 over Poco X2The one who likes large display this phone will be a good choice...!!!! But more than 6 inch display is not very handy to use...!!!!READ MORE",Nice product
811,5,"Excellent 👌👌👌 great build quality Excellent performance , truly worth itOnly complaint is that the camera heats quit fast while playing games,but cools instantly🤩 loved it❤️READ MORE",Excellent
812,5,Nice phone nice camera good luck desine full budget phone i love this phoneREAD MORE,Just wow!
813,4,"Battery is my major concern,means it not go down drastically but  keeps on going down when I play heavy games. But I must say it not compromises with its performance and it's heat management is also very good. I am more like performance based mobile user but camera is just awesome in this price range , yeah xaomi has yellowish tone in its pictures but details are also very clearly shown. Sony's sensor always create a benchmark.Overall it's a great package .READ MORE",Delightful
814,5,Very super phone I ever buy.The screen is very smooth and fast .Finally I love itREAD MORE,Perfect product!
815,4,"Excellent battery life, 30pc battery used full day with about 4to5 hours screen on time.Excellent display and excellent camera.The cover that you get with the phone is much better than what's available in the market.Regular security patches and no lag at all.READ MORE",Pretty good
816,5,"Phone is beast in the case of performance and camera and the 120Hz display gives u a flagship experience and battery is good after miui 11 update and wit 6.7 inch big display with 120 Hz refresh rate it has good battery backup, and with in 22k this is a best phone everREAD MORE",Best in the market!
817,4,Due to lockdown I got my phone after 3 months of ordering but it was worth the wait. I was confused between K20 and X2  but finally narrowed down to this cos of camera. ProsGr8 still camera. Awesome portraits and selfies.Fluid and vibrant display.Good battery life.Side mounted fingerprint scanner.Fast charging is awesome even better than one plus.ConsPoor video camera especially in low light.2MP macro camera pretty useless.Heavy and clunky( thick edges)Camera bump is too much get...READ MORE,Good choice
818,5,"I purchased poco x2 almost 10 days ago 6gb 128 gb variant and I'm also a pubg lover, according to my usage I can give you simple  tricks to save battery first of all disable or uninstall all the use less apps to make your phone neat & clean,use dark mode always.play pubg max to max smooth + extreme with 30-40% brightness I think it's very decent for gaming my phone dropped only 32% in 3 hours of continuous gameplay and that's pretty awesome and 100 to 0 I got 22 hours and 38 minutes of batter...READ MORE",Highly recommended
819,5,I am totally happy with this smart phone. It's the best mid range smart phone. All features of this smart phone is very good. Value for money........READ MORE,Super!
820,5,Trust me guys.... this is one of the best devices I have ever used.. now its my personal phone and thereno issue in it at all. Fir battery I would say that its sufficient for me it gives around 1 day at light use and 7hrs at heavy use... Pubg performance wonderful. Tip: Enable developer options scroll down and reduce the animation and transition scale to 0.5x you will have a better battery life about 1hr improved.READ MORE,Super!
821,5,"Best in the segment, battery works great (1&1/2 day) if we use 60 Hz refresh rate. Camera and other specs are cool, nothing to worry about. Great smart phone.READ MORE",Best in the market!
822,5,Best budjet phone.camera is really awesome.poco will give you the best gaming experience.battery drain is high at 120hz refresh rate but the 27w fast charging counters it.READ MORE,Super!
823,4,"The best I've seen till now for the price, but today got a komse of Moto one fusion Plus - which is a tad better priced and takes the best value for money prize.But still this is a perfect smartphone for users who would like high refresh rate displays, larger but immersive screens, good camera hardware ( you will have to use gcam mods to get the full benefit of IMX 686 sensor) and MIUI.MIUI does come with a lot of bloatware, so you will hav to take some time to clean them up and disable a...READ MORE",Delightful
824,5,"Amazing phone.People say the battery is not that good, but for decent use and mild gaming and lots of photography, there's no better phone than this.If you're a heavy gamer try a SD 800 processor series or 5000 mah battery. This phone is for mild gaming only, say 2-3 hours per day. The battery charges fast with 30watts, but that's a convenience thing.The cameras are the best, pricing is on point. The display is so smooth at 120hz.Buy the phone.READ MORE",Terrific purchase
825,5,Cant ask for more in this price range ... awsome display and as all are saying battery is not good. But I am getting 1 full day backup with this battery. Its more than enough for light users like meREAD MORE,Best in this range... way more than Redmi Note 9 Pro Max
826,5,The phone is best in this price I love the phone what great workREAD MORE,Simply awesome
827,5,"This phone is awesome, because poco 64mb camera better than dslr. Many camera features & more entertainment features available. 4k ultra video recording, super amazing hd display quality. This phone performance & battery life is fantastic..  Best number one phone in the 2020 generation.. great top phone in xiomi.. thanks xiomi & thanks god & universe..   💓👍100%best camera & gaming phone🔥❤️💘for recommended for gamers & (video, photo, selfiie)camera lovers.READ MORE",Classy product
828,5,Awesome phone Camera more details and excellent dynamic rangeBattery nearly 8hrs screen on time and within 1hr full charge 0-100Display like fluid Performance awesome Snapdragon 730g Gaming no lag Fingerprint sensor very fast and accurateFace unlock superbNight mode really good and awesome details  Finally great deal fully satisfied 🥰🥰READ MORE,Must buy!
829,4,I have been using poco X2 phoenix red for 10 days I feel like it's good product for us but you must face battery drain problem and it's likely battery drain problem but  good opportunity battery charging is very fast because they provide 27 H charger . You can use continue till 8 hours after your mobile full charging. And i like a little bit performance because 120 hz smoothness and camera quality good ... You can make video for YouTube if u need making video for YouTube.READ MORE,Value-for-money
830,4,"Very good product within 20k range. Camera is really good, performance is also good. Sensors are working seamlessly. Battery backup is the issue. However if you adjust screen at 60Hz you can get better battery backup. Overall it's a good productREAD MORE",Good choice
831,4,Guys dont buy this phone now. Im not saying its an awful device or something but the Poco X3 NFC will be launching soon. It does have all Poco X2 features and takes it a bit further with an upgrade processor and 33w charger and that for the SAME PRICE. If u guys are interested in this device give my 2 month review a read and decide whether u should wait for the X3 or pick up some other device Edit: I've been using this phone for the past 2 months here are my in depth review..Pros: The...READ MORE,Good quality product
832,5,"Good mobile, good service from Flipkart even in COVID-19 pandemic situation, I appreciate Flipkart efforts.Altogether a great mobileREAD MORE",Awesome
833,4,"i gave it 4 star because nothing is perfect and every thing need to improve , there are little bit battery problem it's just drain very fast when you compare to other device which have same battery ,but when you use this poco x2 you feel premium type feeling so this is worth for money ,so go fast and buy this poco x2 because it is awesome mobileREAD MORE",Delightful
834,4,I am writing this after 1 month usage of quarantine. Basically heavy to medium usage. Mobile was purely catching everyone's eyes. And reacting to reviews.... It's not that much heavy being a glass sandwich design. I dint feel any lags or hanging. I face only one problem... Thats heating... Its true friends... The phone is very good even aftrr 4 hours of gaming. But 15 minutes of camera in a warm room makes it unusable. Even the mobile itself shows notification that its too heat and so it sto...READ MORE,Worth the money
835,3,Well poco marketed for its camera however not that impressive the pics taken during day are good but on low light not really impressive battery is really good and charges quickly and definitely worth the priceREAD MORE,Decent product
836,5,"It's like wow ...... nothing can beat infront of this mobile at this prize ..... thanks to flipkart ,READ MORE",Must buy!
837,5,"It's fall under camera phone category very good display and camera quality under 20k range. Sony senor is used in camera which make camera work at its best.Touch screen is smooth and fast. It's gives variety of features for ringtones, wallpapers themes. And advance keyboard options.Screen area is also big and wide and gives good view those who play games and those who watch movies on mobile. It's does not get hot while long usage.Comes with high capacity charger which charged ph very fas...READ MORE",Classy product
838,5,"Phone is nice. Nice camera. Nice gaming experience. Charging soo fast.But, battery is low. Its only 4500 mah. I expect more battery like 5000 mah.READ MORE",Simply awesome
839,4,Good one bt battery performance not good nd also low light selfie isnt good before I use realme 1 that is the perfect one for low light selfie bt this is too bad for selfieREAD MORE,Nice product
840,5,Awesome mobile with awesome camera (sony imx686 sensor) is really amazing photographic camera. Gaming is a lit👌loved the refresh rate. Overall a wonderful device!READ MORE,Super!
841,4,"If you are looking for mid range flagship phone ,then this is phone will give you that experience.Although it have best in class camera ,battery performance ,sd 730g ,120hz refresh rate . I am happy with this phoneREAD MORE",Best in class
842,5,Good value for money clean ui compared to other Xiaomi phones Vast featuresFeels really fast due to the 120 hz refresh rateREAD MORE,Terrific purchase
843,5,"Superb mobile. There are plus as well as minus points there in mobile.. Camera is superb - low lighting, Pro mode ( RAW picture is plus point in Pro mode) Macro lens is superb and wide angle is also doing good job. Display is smooth, since it has 120hz refresh rate it's like butter. It has better stabilization in video mode but on 4k recording only. On the other side it has some minus points - first is battery issue, even 4500mAh battery draining fast with normal usage ( If you are not gamers...READ MORE",Awesome
844,4,"Overall a good product. ⭐️The delivery was as per schedule. The package was packed well. Battery stays for two days for casual use. YouTube, Whatsapp and the usual social media usage. Occasional Pubg. Charging is fast ⚡️. The phone is huge which is good for watching movies and also has some weight to it. Not an issue. Camera is really good and can take beautiful pictures. Surprisingly macro shots are great in this phone too. And Ads in this phone are rare, at least for me. Worth the mo...READ MORE",Good choice
845,5,"The phone is really smooth AF, charging is pretty good and  if kept display at 60hz , battery last sooooo long.Display is the best part of this phone.!READ MORE",Highly recommended
846,5,This phone is so smooth . In this price range I don't thing any phone can give such a experience for user . I am not into games but the features such as IT blaster it poses are truly amazing . This is my first poco phone ( Xiaomi phone ) and I will recommend everyone for this  for sure . Camera quality is great but not in wide angle lens . I loved it !!READ MORE,Highly recommended
847,5,Good phone good camera good performance... battery is draining little bit fast in 120hz but if we adjust to 60hz refresh ratee its okey... overall good phone for this rateREAD MORE,Fabulous!
848,5,Display camera performance are very good at this price.120hz is super smooth bt it will kill ur battery.hope they will clear in software updatesREAD MORE,Awesome
849,3,Overall my ratings 4..yeah... It really seems to be a flagship category compactable device.. Pocco x2Performance was good.. I giving 4 star out of 5Display its ok.. Its not bad but i prefer it should have amoled display.. And battery performance its not good..easily drain battery and camera really amazing good quality images and good video qualityREAD MORE,Decent product
850,5,"Everything is great in this smartphone. Battery is also fine. Easily 7-8 hours of screen on time for a normal user. For a person who play games alot(pubg), phone will easily last for 4-5 hours on continuous gaming. Best part is the fast charger. It will charge your device completely in less than 1.5 hours. Don't think twice. Just buy it!READ MORE",Great product
851,5,i love this product very much . best camera budget smartphones under 20k ...also we get best hi-fi speakers which provides best and loud sound quality .......READ MORE,"Great product, best camera smartphone"
852,4,"It is true reviewI have last 08 day use  performance rating below Camera :4 (pic after not a  4 disital zoom, but result is good, night result is avreg)Battery : 3 high britnes time heating and battery dropped issueRefrace rate performance: 02 (no iffect fill fast performance)Display: 3 britense nite 500 but not out put in this and Size is big size, but hand filling in soft performance.Sound: 04Processing performance: 4 use time light auto minimiseI think batter performance re...READ MORE",Worth the money
853,5,Best phone in this price segment.I don't know why people are giving so much negative comment on battery.Very good battery .put it on 60hz .even u can play pubg for more than 5 hours.Little bit frame rate.but it feels like nillLoved it .Go for it right nowREAD MORE,Terrific purchase
854,5,Absolutely happy with the phone. The camera  is just amazing... I gifted it to my aunt and she is really happy with this phone. The phone feels really good and this color is beautiful too. Absolutely no complains.READ MORE,Terrific
855,5,Wow.good mobile with spectacular specs.battery is a little bit low at 120 Hz.but it's good at 60hz.There is no screen bleeding after 5 days.730G is wonderful.charging is very fast.overall good product.There is no ads in its UI.Sunlight visibility is also good.There is game turbo in it is also good.it optimise the game very smoothly.forgot the negatives.Go For it.READ MORE,Brilliant
856,5,Best best best mobile... stylish.....😃😃👌👌👌 Mind-blowing purchase.... Love it.... Poco camera ultimate... Beautiful Mobile 👍👌phonex red is best color...READ MORE,Mind-blowing purchase
857,4,Sexy phone .. Most people say battery backup is bad ..But my experience good battery backup .. Smooth pubg play ... I'm so happy to buy poco x2 . killer camera .. Look is so sexy this dual punch hool cam.READ MORE,Good quality product
858,4,"I love the phone , after using it for 30 days or more u can say it has good battery backup and charge super quickly ,Rear camera is just pro , front camera should be little better , No hang issue , sometimes it heat up while charging ,But worth purchase productREAD MORE",Value-for-money
859,5,"Best mobile under this price segment. All features like pro . Camera is awesome , Display like super AmoledREAD MORE",Must buy!
860,5,4 months of using it and I believe I can make a detailed review.Display: Great. LCD but the contrast is good too. UI: MIUI is good. And in july we are also getting MIUI 12 so it'll look like iOS. Btw I don't like MIUI so using a custom ROM (there are tons of them. 🤩)Battery: Never faced any issues. Getting around 8hours SOT on 60Hz and 7 hours with 120Hz. So no issues. Charging: Charges very fast. 20-80% easily in 1hour.READ MORE,Must buy!
861,5,A very powerful phone!!! If your budget is upto 18000 you must have this phone.. Refresh rate is a big highlight. Loved it.. Thanks POCOREAD MORE,Must buy!
862,5,One of the best phone you can get in this range.The screen is awesome 😍 120Hz works pretty fine.Battery is Okay.Camera is awesome.Charging speed is fantastic.Hotspot: 2.4 Ghz and 5 GhzREAD MORE,Great product
863,5,"Awesome Mobile.......... Camera Superb.....Display Awesome......Game Experience ExcellentPerformance Superb""Bettry""..Can be better.... pls POCO Work On Bettry Life.....If u r having want Both Good Video experience + Good Gaming Experience  then must buy this Mobile........add point Camera is Just Awesome...u love it..... best under 2k....READ MORE",Perfect product!
864,5,"Best performance, good camera, nice battery backup with fast charging.Overall best mobile phone under this budgetREAD MORE",Best in the market!
865,5,"Great phone got it for Rs 17,499. Great camera performance and beautiful display. But one thing this is a big phone and not for 1 handed useREAD MORE",Must buy!
866,4,"Camera is Awesome ❤️Display is great but coud be better if comes with a amoled one ☺️Battery backup is Average ,however it will  make a whole day without instance gamming 🤗READ MORE",Really Nice
867,5,Thanks to Xiaomi for this valuable Smartphone (POCO X2)Camera is good 👍. Display refresh rate 120hz is amazing.Battery backup is not better ☹️.READ MORE,Super!
868,5,"Good perform ...value for money...i don't find any heating issues...sometimes battery drops 1- 2% not oftenly ,but sometimes...fix this bug poco...thanks for your amazing product .....your delivery is good and safe ... nicely packed ..and secure.READ MORE",Awesome
869,5,It is an amazing  phone all together! Clicks amazing photos and has amazing video quality with stability!!❤️The product is worth every penny!!READ MORE,Perfect product!
870,5,I think its the best device under 20k!A great camera(truely great!)Very good performanceA great display- 120 Hz does bring a differenceUI is good enough- i used a icon pack and some customizations to give it a stock look!I think one thing that is below par is the battery life.. it sometimes drains very quickly!I hope they fix this issue after an update..Overall a great phone!READ MORE,Terrific purchase
871,4,Great Device.. good Battery.. great camera.. great display.. great performance.. I haven't find any battery drain issues and heating issues so far.. overall worth your money..READ MORE,Good quality product
872,3,Worth for money...!!!It has got more like a premium look and feel.Excellent camera.Decent premium looks.Very good big long display.And the fast charger too helps... full charge in 1 hr 15mins.But not pretty happy with the battery backup.  And problem in internet speed. Even a 6000rs basic smarphone give more internet speed than this.As a normal user i am getting 10..12 hrs of backupREAD MORE,Just okay
873,5,Best phone under this prize segment.. camera is good and gaming performance is fabulous with SD 730G processor.. 120Hz screen rate feels awesome experience.. must buy..READ MORE,Highly recommended
874,5,Poco x2 is one of the best smartphone in this price range. The picture quality is very much good (except wide angle) . We can create vlog. Display is good but it would have been much better if it was amoled display.  Battery performance is not that high but it will go for a  Day if we use the phone in 60hz.Overall the phone is very much good.The delivery boy is also so friendly an honest.READ MORE,Just wow!
875,5,Awesome Mobile. Best pick for the budget range. If you're facing any battery issue just sign out of mi account or remove sync. It handles everything nicely and also the charging is great with 30W charger in the box. Ultimately the best budget phoneREAD MORE,Fabulous!
876,5,120 refresh rate simply plays awesome role. . Camera also having lots of options.imbuild vedio editing i like it very much. With MIUI Os no ads.READ MORE,Awesome
877,5,"First of all, worth every penny spent on it. Good performance, great display, good build and camera. The thing that most catches your eye is the display, really vibrant and almost comparable to oled at this price point. 120hz doesn't make much of a difference apart from games and system interface. But having that is plus point. So in a nutshell, if you are looking for a phone in about 20k, look no further.READ MORE",Must buy!
878,4,"Overall it's a great product, lived upto it's POCO expectations, Great rear camera, Sony IMX686 lens works awesome, pretty much clear n crisp images , however front camera could have been better.Battery life with heavy usage lasts about just a day.Display is smooth, 120 hz makes a lot of difference.Overall happy with the purchase.READ MORE",Really Nice
879,4,"*****Best deal to get at this price range******Some of the pros😇😇😇1. Best camera in this price range😎2. Display is bright and amazing cannot be compared with amoled though3. Smooth 4. It really charges very fast.The only cons I have face😅😅😅1. Battery drains fast after the latest may update, still it last a day long.2. The hybrid sim slot (bought a 128 gb variant still if an additional sd card slot would be there it would add an extra cherry)🙄🙄🙄🙄READ MORE",Really Nice
880,5,Good phone experience is good and much better performance this phone send value for money phone thank youREAD MORE,Super!
881,5,Super smart   mobile phone. Excellent fantastic amazing super awesome fantastic amazing excellent 👏 Fantastic 😎READ MORE,Brilliant
882,4,Nice phone with good specifications but battery life is not as expected like 4500 MAH....Might be because of 120 hz but Poco should consider it and provide an update to fix it. .READ MORE,Really Nice
883,5,Everything's perfect I really love the phone but I didn't get the earphone with the phone that's a sad part.And the major problem is the sim tray because we cannot use 2 sims and the sd card at the same time.GPU is awesome fps is very good ram is very good overall performance is upto mark I liked it.READ MORE,Brilliant
884,5,"This is the best phone under 20k, I have been using this phone from two weeks,no issues found at all, display with 120hertz is awesome, flawless performance,very good primary sony imx 686 camera,, forget about other camera sensor these are useless, BATTERY is decent gives backup like 3800 mah battery,,,since we get 27watts fast charge in the box,so it shouldn't be an issues, selfie camera is good..go for it guysREAD MORE",Must buy!
885,4,Good phone have a 27watt charge charged it fast in just 1hour and 15-20min very fast.Battery backup also good lasting in just 7-8 hours when fully 100%charged.Camera quality superb !!Display type IPS LCD it's size is quite bigger .It's looks very nice . Phoenix red reflects very much...!!READ MORE,Good quality product
886,5,Best phone to buy under 20kSanpdragon 730 just perfect in this price for gameing.Camera is soo cool even under low light.Perfect. Just loved itREAD MORE,Brilliant
887,5,Best phone at the best price. All the top notch stuff at such an affordable price.READ MORE,Terrific purchase
888,5,"From my side, an excellent option to have. Everything seems to work wonderfully including battery (probably because I am not an avid gamer) . The results from the camera are just fabulous .... hoping for a lasting results.READ MORE",Wonderful
889,4,Phone is pretty good but i think in this price they can provide internal memory at least 128 GB.Build quality of the phone is way better then its counterparts.READ MORE,Very Good
890,4,Nice product satisfied with the mobile phone and looking good super featuresREAD MORE,Delightful
891,5,"Ah. what a phone with 4500 mAH battery and mindblowing camera.BTW, If you want a good samrtphone in this price segment I will highly recommend this phone. Go for it blindly.So, first of all, Thank you flipkart for delivering so fast.I wasn't expecting such a quick delivery, since I don't live in a metro city. Pros:)1.Qualcomm Snapdtagon 730G (8nm) chipset. (Best for gaming)2.Massive 4500mah battery(Enough for one day use)3.Corning Gorila glass 5 protection(Front side)4. Aluminum Fram...READ MORE",Highly recommended
892,5,Best mobile phone under 20k Awesome productI m so happy for this Mobile poco X2 wowREAD MORE,Just wow!
893,5,The phone is really awesome love the Matrix Purple color.The performance is really good best in 20k.The sony x686 sensors works really good and do take magical photographs.The first image is from night mode and 2nd with HDR.Potrait and macro also works really good.Battery backup isn't the problem. I get 6h50m screen on time even after 1.5 hr PUBG usage on 60hz. At 120hz it is 6h.READ MORE,Brilliant
894,5,"Thanks to flipkart and .....n to the developer the design build quality looks premium as we get the latest Corning Gorilla 5 both back and front not only that we get 120Hz refresh with powerful processor inbuilt 730G n 27wt fast charger in the box itself .....  N check some photos 64 , night mode , Normal ....if you are looking for a mid range phones with powerful processor then I strongly recommend you to go with it without second doubt 😉READ MORE",Terrific purchase
895,3,I'm telling my 10 days experience using this phone.1. Screen is fine but amoled screens look much better ( after comparing with my wife's K20 ). I don't find 120 refresh is much of a big deal personally. It makes the phone feel smoother but any phone with 730G chip should feel smooth too.2. Battery is above average but 120hz display drains battery somewhat fast. The fast charging speed is awesome though.3. Build quality of the phone is good but its very slippery. Using a back cover is reco...READ MORE,Not bad at all considering the price !!
896,5,If your looking for handy phone its not for you .Camera is amazing 😍Display is smoothBattery is good after updating. But it's feels heavy in hand. Overall ultimate phone 👌READ MORE,Highly recommended
897,5,"Picture quality is really very good 👌All over thats very good phone , value for money phone 😍Display is just looks like amoled .READ MORE",Great product
898,5,nice mobile worth of money.camera is awesome at price range battry backup is awesome can last upto whole day at heavy use .120hrz display is aweaome .READ MORE,Simply awesome
899,5,"Fast smooth performance,display above average not up to super amoled,battery draining fast we have to charge with fast charger 27W its super.Overall its gaming beast.READ MORE",Perfect product!
900,5,"It's is just a wonderful phoneI am very much impressed from its fast charging charger, although its too big,  it charges the whole phone in half an hour for my per day usageREAD MORE",Highly recommended
901,5,Just received the phone n aft using for one day...I feel it's amazing phone ...pic quality is grt... battery last for whole one day as I was online for  whole day to install all my apps in new phone. Really it's a good deal for me.READ MORE,Awesome
902,5,"Best mobile in this price, i love the performance, pubg play butter smooth and display quality excellent, best camera i love it .READ MORE",Highly recommended
903,5,"love the product, POCO x2 is pure beast in this price for now..!! performance wise it is 100% amazing... camera is on another level.. 4k 30-fps is so stable which surprise me most..!! and Look wise it is very attractive..!! it look little off trend but to be honest it dont feel off trend when we hold it in our hand..!! buid quality is amazing..!!For those are concerned about battery drain, it is 120hz display which use battery ofcourse and there is 27 watt charger which will charge it maximu...READ MORE",Just wow!
904,4,It is best mobile for gaming and other purpose ..... Is product is amazing and nice ... This is best mobile under 20000READ MORE,Delightful
905,5,Best value for money camera is good and performance is best at this price point and display is very good 120hz display make game soother and display is just give experience of Samsung S10+ just go for itREAD MORE,Terrific
906,5,A good mobile I bought it for my sister .works very well smooth as lit since it backs up with 120Hz refreshing rateREAD MORE,Wonderful
907,5,"It's fabulous phone in this price range, my search ends here , no problem at all, Battery is also good if you use genreal apps and music games but select the screen refresh rate to 60 Hz. Phone sound is very good it's Dolby ,READ MORE",Expected a better product
